,Group,Type,Area,Neighborhood,count,prob,mean_dist
0,DRpre,A,A/RL/AL,A,8,0.08333333333333333,0.17293933851499677
1,DRpre,A,A/RL/AL,M,68,0.7083333333333334,0.5735844034750516
2,DRpre,A,A/RL/AL,V,20,0.20833333333333334,0.25347625800995166
3,DRpre,A,AM/PM,A,0,0.0,0.03232963381332493
4,DRpre,A,AM/PM,M,4,0.3333333333333333,0.47849144889896406
5,DRpre,A,AM/PM,V,8,0.6666666666666666,0.489178917287711
6,DRpre,A,LM,A,8,0.34782608695652173,0.307042589849591
7,DRpre,A,LM,M,9,0.391304347826087,0.4385451107085579
8,DRpre,A,LM,V,6,0.2608695652173913,0.2544122994418511
9,DRpre,A,V1,A,22,0.15492957746478872,0.19629925027789197
10,DRpre,A,V1,M,61,0.4295774647887324,0.40469057368940686
11,DRpre,A,V1,V,59,0.4154929577464789,0.39901017603270117
12,DRpre,M,A/RL/AL,A,30,0.12552301255230125,0.2227546454805013
13,DRpre,M,A/RL/AL,M,162,0.6778242677824268,0.5379378051652611
14,DRpre,M,A/RL/AL,V,47,0.19665271966527198,0.23930754935423765
15,DRpre,M,AM/PM,A,0,0.0,0.12483910225508116
16,DRpre,M,AM/PM,M,21,0.4772727272727273,0.43081529712010797
17,DRpre,M,AM/PM,V,23,0.5227272727272727,0.44434560062481093
18,DRpre,M,LM,A,9,0.45,0.382106605258072
19,DRpre,M,LM,M,7,0.35,0.3490215009321224
20,DRpre,M,LM,V,4,0.2,0.2688718938098056
21,DRpre,M,V1,A,43,0.13870967741935483,0.19568371605733928
22,DRpre,M,V1,M,137,0.44193548387096776,0.4132471169976302
23,DRpre,M,V1,V,130,0.41935483870967744,0.3910691669450305
24,DRpre,V,A/RL/AL,A,10,0.09345794392523364,0.20868567594875673
25,DRpre,V,A/RL/AL,M,70,0.6542056074766355,0.5227422915755082
26,DRpre,V,A/RL/AL,V,27,0.2523364485981308,0.268572032475735
27,DRpre,V,AM/PM,A,1,0.024390243902439025,0.15143041010543803
28,DRpre,V,AM/PM,M,23,0.5609756097560976,0.46797586939523556
29,DRpre,V,AM/PM,V,17,0.4146341463414634,0.3805937204993264
30,DRpre,V,LM,A,4,0.2857142857142857,0.36154599628608086
31,DRpre,V,LM,M,9,0.6428571428571429,0.45588534085936194
32,DRpre,V,LM,V,1,0.07142857142857142,0.18256866285455708
33,DRpre,V,V1,A,39,0.125,0.17997586571699353
34,DRpre,V,V1,M,141,0.4519230769230769,0.4073216174648371
35,DRpre,V,V1,V,132,0.4230769230769231,0.41270251681816944
36,DRpre,A,A/RL/AL,A,8,0.07920792079207921,0.18411231595531924
37,DRpre,A,A/RL/AL,M,61,0.6039603960396039,0.5239405610601114
38,DRpre,A,A/RL/AL,V,32,0.31683168316831684,0.29194712298456926
39,DRpre,A,AM/PM,A,0,0.0,0.0627472565665537
40,DRpre,A,AM/PM,M,6,0.6666666666666666,0.49299159276561105
41,DRpre,A,AM/PM,V,3,0.3333333333333333,0.4442611506678353
42,DRpre,A,LM,A,2,0.09090909090909091,0.24634407466976105
43,DRpre,A,LM,M,14,0.6363636363636364,0.4811786116837857
44,DRpre,A,LM,V,6,0.2727272727272727,0.27247731364645333
45,DRpre,A,V1,A,14,0.09929078014184398,0.19138516803231456
46,DRpre,A,V1,M,74,0.524822695035461,0.4506724786240666
47,DRpre,A,V1,V,53,0.375886524822695,0.35794235334361885
48,DRpre,M,A/RL/AL,A,46,0.19574468085106383,0.22035324692307723
49,DRpre,M,A/RL/AL,M,148,0.6297872340425532,0.5474099569996387
50,DRpre,M,A/RL/AL,V,41,0.17446808510638298,0.23223679607728412
51,DRpre,M,AM/PM,A,0,0.0,0.09786417697210428
52,DRpre,M,AM/PM,M,27,0.5869565217391305,0.5270831871035613
53,DRpre,M,AM/PM,V,19,0.41304347826086957,0.3750526359243344
54,DRpre,M,LM,A,13,0.6190476190476191,0.44508814846684525
