,Group,Type,Area,Neighborhood,count,prob,mean_dist
0,NRpre,A,A/RL/AL,A,88,0.47058823529411764,0.4139005401780683
1,NRpre,A,A/RL/AL,M,50,0.26737967914438504,0.2946321723223048
2,NRpre,A,A/RL/AL,V,49,0.2620320855614973,0.2914672874996269
3,NRpre,A,AM/PM,A,12,0.15384615384615385,0.19187916272388295
4,NRpre,A,AM/PM,M,22,0.28205128205128205,0.266684999241803
5,NRpre,A,AM/PM,V,44,0.5641025641025641,0.541435838034314
6,NRpre,A,LM,A,10,0.43478260869565216,0.3822230817391231
7,NRpre,A,LM,M,8,0.34782608695652173,0.35518667527135717
8,NRpre,A,LM,V,5,0.21739130434782608,0.2625902429895197
9,NRpre,A,V1,A,43,0.18376068376068377,0.18656933356886615
10,NRpre,A,V1,M,63,0.2692307692307692,0.3078839360408254
11,NRpre,A,V1,V,128,0.5470085470085471,0.5055467303903084
12,NRpre,M,A/RL/AL,A,57,0.4596774193548387,0.4437808776731884
13,NRpre,M,A/RL/AL,M,32,0.25806451612903225,0.2506844167976825
14,NRpre,M,A/RL/AL,V,35,0.28225806451612906,0.30553470552912904
15,NRpre,M,AM/PM,A,21,0.1721311475409836,0.18996201837267207
16,NRpre,M,AM/PM,M,27,0.22131147540983606,0.27902676403269666
17,NRpre,M,AM/PM,V,74,0.6065573770491803,0.5310112175946313
18,NRpre,M,LM,A,10,0.47619047619047616,0.41136830100608374
19,NRpre,M,LM,M,5,0.23809523809523808,0.21401455844423967
20,NRpre,M,LM,V,6,0.2857142857142857,0.37461714054967654
21,NRpre,M,V1,A,66,0.17886178861788618,0.1908336441143614
22,NRpre,M,V1,M,92,0.24932249322493225,0.28183377342908733
23,NRpre,M,V1,V,211,0.5718157181571816,0.5273325824565512
24,NRpre,V,A/RL/AL,A,52,0.3611111111111111,0.3813729220171325
25,NRpre,V,A/RL/AL,M,39,0.2708333333333333,0.2548458814972651
26,NRpre,V,A/RL/AL,V,53,0.3680555555555556,0.36378119648560236
27,NRpre,V,AM/PM,A,42,0.17573221757322174,0.17467066514627058
28,NRpre,V,AM/PM,M,56,0.23430962343096234,0.2825546182367303
29,NRpre,V,AM/PM,V,141,0.5899581589958159,0.542774716616999
30,NRpre,V,LM,A,7,0.3684210526315789,0.3742114006150121
31,NRpre,V,LM,M,8,0.42105263157894735,0.39013006512447673
32,NRpre,V,LM,V,4,0.21052631578947367,0.23565853426051112
33,NRpre,V,V1,A,102,0.1588785046728972,0.18436650309881503
34,NRpre,V,V1,M,167,0.2601246105919003,0.2967939404982401
35,NRpre,V,V1,V,373,0.5809968847352025,0.5188395564029449
36,NRpre,A,A/RL/AL,A,79,0.42245989304812837,0.388954029156829
37,NRpre,A,A/RL/AL,M,49,0.2620320855614973,0.2931106660107357
38,NRpre,A,A/RL/AL,V,59,0.3155080213903743,0.3179353048324353
39,NRpre,A,AM/PM,A,13,0.16883116883116883,0.2026316327042771
40,NRpre,A,AM/PM,M,24,0.3116883116883117,0.29143796915256115
41,NRpre,A,AM/PM,V,40,0.5194805194805194,0.5059303981431617
42,NRpre,A,LM,A,9,0.391304347826087,0.29583398084877505
43,NRpre,A,LM,M,10,0.43478260869565216,0.4115874342677116
44,NRpre,A,LM,V,4,0.17391304347826086,0.2925785848835133
