,Group,Type,Neighborhood,count,prob,mean_dist
0,DRpre,A,A,59,0.21611721611721613,0.23124357810924073
1,DRpre,A,M,115,0.42124542124542125,0.40333063899135196
2,DRpre,A,V,99,0.3626373626373626,0.3654257828994073
3,DRpre,M,A,89,0.14662273476112025,0.17102975256807815
4,DRpre,M,M,320,0.5271828665568369,0.4940919196715037
5,DRpre,M,V,198,0.3261943986820428,0.3348783277604182
6,DRpre,V,A,89,0.1877637130801688,0.2024966999258901
7,DRpre,V,M,212,0.4472573839662447,0.43122489829544414
8,DRpre,V,V,173,0.3649789029535865,0.3662784017786658
9,DRpre,A,A,67,0.2454212454212454,0.24526119861127754
10,DRpre,A,M,121,0.4432234432234432,0.42797295345614306
11,DRpre,A,V,85,0.31135531135531136,0.3267658479325794
12,DRpre,M,A,103,0.1696869851729819,0.1921960440988316
13,DRpre,M,M,300,0.4942339373970346,0.46882027910842583
14,DRpre,M,V,204,0.33607907742998355,0.3389836767927426
15,DRpre,V,A,78,0.16455696202531644,0.1931781789231987
16,DRpre,V,M,212,0.4472573839662447,0.4293115469946177
17,DRpre,V,V,184,0.3881856540084388,0.37751027408218363
18,DRpre,A,A,59,0.21611721611721613,0.22806031819350098
19,DRpre,A,M,129,0.4725274725274725,0.43216067115215756
20,DRpre,A,V,85,0.31135531135531136,0.33977901065434146
21,DRpre,M,A,104,0.171334431630972,0.19571005988455664
22,DRpre,M,M,307,0.5057660626029654,0.47272749631073
23,DRpre,M,V,196,0.3228995057660626,0.3315624438047133
24,DRpre,V,A,80,0.16877637130801687,0.20005654007683468
25,DRpre,V,M,219,0.4620253164556962,0.4324427008031665
26,DRpre,V,V,175,0.3691983122362869,0.36750075911999885
27,DRpre,A,A,39,0.14285714285714285,0.18369156348934068
28,DRpre,A,M,137,0.5018315018315018,0.4638714751465107
29,DRpre,A,V,97,0.3553113553113553,0.35243696136414865
30,DRpre,M,A,112,0.18451400329489293,0.21002978786279455
31,DRpre,M,M,295,0.48599670510708404,0.45800056950317336
32,DRpre,M,V,200,0.32948929159802304,0.33196964263403206
33,DRpre,V,A,83,0.1751054852320675,0.19981171910407589
34,DRpre,V,M,215,0.45358649789029537,0.42948199533439657
35,DRpre,V,V,176,0.37130801687763715,0.37070628556152757
36,DRpre,A,A,55,0.20146520146520147,0.230955290278323
37,DRpre,A,M,124,0.4542124542124542,0.4219370090374705
38,DRpre,A,V,94,0.3443223443223443,0.34710770068420643
39,DRpre,M,A,95,0.15650741350906094,0.1823615149148642
40,DRpre,M,M,311,0.5123558484349259,0.48473996647201006
41,DRpre,M,V,201,0.3311367380560132,0.3328985186131258
42,DRpre,V,A,89,0.1877637130801688,0.19943399065460743
43,DRpre,V,M,209,0.4409282700421941,0.4212194064362972
44,DRpre,V,V,176,0.37130801687763715,0.37934660290909533
45,DRpre,A,A,54,0.1978021978021978,0.20876873783982655
46,DRpre,A,M,119,0.4358974358974359,0.4286946088279226
47,DRpre,A,V,100,0.3663003663003663,0.3625366533322508
48,DRpre,M,A,108,0.17792421746293247,0.19859038249245864
49,DRpre,M,M,307,0.5057660626029654,0.4734595457698978
50,DRpre,M,V,192,0.3163097199341021,0.3279500717376435
51,DRpre,V,A,92,0.1940928270042194,0.20364013183706134
52,DRpre,V,M,199,0.41983122362869196,0.41153683746053465
53,DRpre,V,V,183,0.3860759493670886,0.384823030702404
54,DRpre,A,A,66,0.24175824175824176,0.24679979953812392
55,DRpre,A,M,122,0.4468864468864469,0.42411357428386603
56,DRpre,A,V,85,0.31135531135531136,0.32908662617801004
57,DRpre,M,A,108,0.17792421746293247,0.19624041525513616
58,DRpre,M,M,294,0.4843492586490939,0.47213446938095244
59,DRpre,M,V,205,0.33772652388797364,0.33162511536391137
60,DRpre,V,A,85,0.17932489451476794,0.19156557445690053
61,DRpre,V,M,218,0.459915611814346,0.43535651248807256
62,DRpre,V,V,171,0.36075949367088606,0.37307791305502686
63,DRpre,A,A,48,0.17582417582417584,0.21042478096660552
64,DRpre,A,M,135,0.4945054945054945,0.46050797402340315
65,DRpre,A,V,90,0.32967032967032966,0.32906724500999135
66,DRpre,M,A,108,0.17792421746293247,0.20212905994941296
67,DRpre,M,M,296,0.4876441515650741,0.47250504702701623
68,DRpre,M,V,203,0.3344316309719934,0.3253658930235708
69,DRpre,V,A,75,0.15822784810126583,0.19190283859778567
70,DRpre,V,M,206,0.4345991561181435,0.423791667948637
71,DRpre,V,V,193,0.40717299578059074,0.3843054934535774
72,DRpre,A,A,61,0.22344322344322345,0.2527858578379132
73,DRpre,A,M,122,0.4468864468864469,0.43027770331244375
74,DRpre,A,V,90,0.32967032967032966,0.31693643884964307
75,DRpre,M,A,117,0.1927512355848435,0.20928248332033408
76,DRpre,M,M,297,0.48929159802306427,0.4632887484494857
77,DRpre,M,V,193,0.31795716639209226,0.32742876823018024
78,DRpre,V,A,83,0.1751054852320675,0.18749360988170355
79,DRpre,V,M,190,0.4008438818565401,0.4171802165398077
80,DRpre,V,V,201,0.4240506329113924,0.3953261735784888
81,DRpre,A,A,53,0.19413919413919414,0.23455020703574805
82,DRpre,A,M,120,0.43956043956043955,0.41684945763121833
83,DRpre,A,V,100,0.3663003663003663,0.3486003353330337
84,DRpre,M,A,109,0.17957166392092258,0.18475937471386003
85,DRpre,M,M,281,0.46293245469522243,0.4618807402304427
86,DRpre,M,V,217,0.357495881383855,0.3533598850556973
87,DRpre,V,A,93,0.1962025316455696,0.20852919195503813
88,DRpre,V,M,219,0.4620253164556962,0.4483566209150303
89,DRpre,V,V,162,0.34177215189873417,0.3431141871299315
90,DRpre,A,A,59,0.21611721611721613,0.22174523539076577
91,DRpre,A,M,130,0.47619047619047616,0.44053514667723237
92,DRpre,A,V,84,0.3076923076923077,0.3377196179320019
93,DRpre,M,A,99,0.1630971993410214,0.194100080943394
94,DRpre,M,M,309,0.5090609555189456,0.46892195426447186
95,DRpre,M,V,199,0.32784184514003295,0.33697796479213404
96,DRpre,V,A,67,0.14135021097046413,0.1894164196358236
97,DRpre,V,M,218,0.459915611814346,0.44234614309987846
98,DRpre,V,V,189,0.3987341772151899,0.3682374372642979
99,DRpre,A,A,58,0.21245421245421245,0.22196428814160118
100,DRpre,A,M,126,0.46153846153846156,0.43824913696404577
101,DRpre,A,V,89,0.326007326007326,0.339786574894353
102,DRpre,M,A,100,0.16474464579901152,0.20062535469684714
103,DRpre,M,M,311,0.5123558484349259,0.4775593251084682
104,DRpre,M,V,196,0.3228995057660626,0.3218153201946847
105,DRpre,V,A,84,0.17721518987341772,0.1977623312516539
106,DRpre,V,M,194,0.4092827004219409,0.4065993218106579
107,DRpre,V,V,196,0.41350210970464135,0.3956383469376882
108,DRpre,A,A,70,0.2564102564102564,0.25859285084965294
109,DRpre,A,M,115,0.42124542124542125,0.41009288440059327
110,DRpre,A,V,88,0.32234432234432236,0.3313142647497538
111,DRpre,M,A,87,0.14332784184514002,0.18150181661091894
112,DRpre,M,M,330,0.5436573311367381,0.4946363734528403
113,DRpre,M,V,190,0.3130148270181219,0.32386180993624075
114,DRpre,V,A,86,0.18143459915611815,0.21155261719012702
115,DRpre,V,M,217,0.4578059071729958,0.42882945950867424
116,DRpre,V,V,171,0.36075949367088606,0.3596179233011988
117,DRpre,A,A,45,0.16483516483516483,0.197174395946418
118,DRpre,A,M,133,0.48717948717948717,0.4684449403979831
119,DRpre,A,V,95,0.34798534798534797,0.3343806636555989
120,DRpre,M,A,111,0.1828665568369028,0.20101722433023703
121,DRpre,M,M,288,0.4744645799011532,0.458894612117024
122,DRpre,M,V,208,0.342668863261944,0.340088163552739
123,DRpre,V,A,74,0.15611814345991562,0.18980171590035702
124,DRpre,V,M,212,0.4472573839662447,0.4128305091780625
125,DRpre,V,V,188,0.39662447257383965,0.39736777492158043
126,DRpre,A,A,57,0.2087912087912088,0.2290104228289013
127,DRpre,A,M,140,0.5128205128205128,0.4587983241068942
128,DRpre,A,V,76,0.2783882783882784,0.3121912530642046
129,DRpre,M,A,120,0.19769357495881384,0.21042130188794528
130,DRpre,M,M,298,0.49093904448105435,0.46780034440829366
131,DRpre,M,V,189,0.3113673805601318,0.32177835370376107
132,DRpre,V,A,84,0.17721518987341772,0.20154721786377042
133,DRpre,V,M,214,0.45147679324894513,0.4249717102396682
134,DRpre,V,V,176,0.37130801687763715,0.3734810718965614
135,DRpre,A,A,50,0.18315018315018314,0.213744862083181
136,DRpre,A,M,141,0.5164835164835165,0.4772815763619604
137,DRpre,A,V,82,0.30036630036630035,0.3089735615548586
138,DRpre,M,A,115,0.18945634266886327,0.20789485520611878
139,DRpre,M,M,286,0.471169686985173,0.45607317557211513
140,DRpre,M,V,206,0.3393739703459638,0.3360319692217661
141,DRpre,V,A,71,0.14978902953586498,0.17984462364464826
142,DRpre,V,M,212,0.4472573839662447,0.4385396562667255
143,DRpre,V,V,191,0.4029535864978903,0.38161572008862626
144,DRpre,A,A,59,0.21611721611721613,0.2167525215056272
145,DRpre,A,M,119,0.4358974358974359,0.4490219189866007
146,DRpre,A,V,95,0.34798534798534797,0.3342255595077721
147,DRpre,M,A,122,0.20098846787479407,0.2187695739053227
148,DRpre,M,M,297,0.48929159802306427,0.4594344739193816
149,DRpre,M,V,188,0.30971993410214166,0.32179595217529566
150,DRpre,V,A,86,0.18143459915611815,0.20397526401046592
151,DRpre,V,M,204,0.43037974683544306,0.4217511766411077
152,DRpre,V,V,184,0.3881856540084388,0.37427355934842643
153,DRpre,A,A,55,0.20146520146520147,0.21740174180227892
154,DRpre,A,M,117,0.42857142857142855,0.42362782648850145
155,DRpre,A,V,101,0.36996336996337,0.35897043170921966
156,DRpre,M,A,100,0.16474464579901152,0.1948839691755168
157,DRpre,M,M,291,0.4794069192751236,0.45421815643916674
158,DRpre,M,V,216,0.35584843492586493,0.35089787438531644
159,DRpre,V,A,80,0.16877637130801687,0.20911211685248635
160,DRpre,V,M,227,0.47890295358649787,0.4382005851181028
161,DRpre,V,V,167,0.35232067510548526,0.3526872980294109
162,DRpre,A,A,52,0.19047619047619047,0.21437786275994425
163,DRpre,A,M,121,0.4432234432234432,0.426288762858928
164,DRpre,A,V,100,0.3663003663003663,0.3593333743811277
165,DRpre,M,A,90,0.14827018121911037,0.18305267042480838
166,DRpre,M,M,335,0.5518945634266886,0.5089628635195622
167,DRpre,M,V,182,0.29983525535420097,0.3079844660556295
168,DRpre,V,A,96,0.20253164556962025,0.2126940434340141
169,DRpre,V,M,186,0.3924050632911392,0.3938744529318976
170,DRpre,V,V,192,0.4050632911392405,0.3934315036340883
171,DRpre,A,A,53,0.19413919413919414,0.21064259956869147
172,DRpre,A,M,119,0.4358974358974359,0.41589605042664096
173,DRpre,A,V,101,0.36996336996337,0.3734613500046676
174,DRpre,M,A,94,0.15485996705107083,0.19236401816348017
175,DRpre,M,M,315,0.5189456342668863,0.4911131842413962
176,DRpre,M,V,198,0.3261943986820428,0.31652279759512364
177,DRpre,V,A,82,0.1729957805907173,0.21476881814001272
178,DRpre,V,M,209,0.4409282700421941,0.4104339550888096
179,DRpre,V,V,183,0.3860759493670886,0.3747972267711777
180,DRpre,A,A,54,0.1978021978021978,0.23821642173476945
181,DRpre,A,M,111,0.4065934065934066,0.4048455510137394
182,DRpre,A,V,108,0.3956043956043956,0.3569380272514911
183,DRpre,M,A,101,0.16639209225700163,0.18808133100513005
184,DRpre,M,M,310,0.5107084019769358,0.48899452172641483
185,DRpre,M,V,196,0.3228995057660626,0.32292414726845514
186,DRpre,V,A,99,0.2088607594936709,0.19817132010265004
187,DRpre,V,M,185,0.39029535864978904,0.40893380871518864
188,DRpre,V,V,190,0.4008438818565401,0.39289487118216126
189,DRpre,A,A,63,0.23076923076923078,0.23885291369514156
190,DRpre,A,M,134,0.4908424908424908,0.45647630487808205
191,DRpre,A,V,76,0.2783882783882784,0.3046707814267764
192,DRpre,M,A,108,0.17792421746293247,0.19284713802458578
193,DRpre,M,M,306,0.5041186161449753,0.48409471969557877
194,DRpre,M,V,193,0.31795716639209226,0.3230581422798354
195,DRpre,V,A,60,0.12658227848101267,0.17043743965559013
196,DRpre,V,M,214,0.45147679324894513,0.4280555434661529
197,DRpre,V,V,200,0.4219409282700422,0.40150701687825696
198,DRpre,A,A,53,0.19413919413919414,0.21713226832344606
199,DRpre,A,M,114,0.4175824175824176,0.4341381160327829
200,DRpre,A,V,106,0.3882783882783883,0.34872961564377103
201,DRpre,M,A,97,0.15980230642504117,0.19330693394314769
202,DRpre,M,M,297,0.48929159802306427,0.45856318804643015
203,DRpre,M,V,213,0.35090609555189456,0.3481298780104222
204,DRpre,V,A,81,0.17088607594936708,0.20284681559816128
205,DRpre,V,M,221,0.46624472573839665,0.4377804757704098
206,DRpre,V,V,172,0.3628691983122363,0.3593727086314289
207,DRpre,A,A,51,0.18681318681318682,0.22258212752396606
208,DRpre,A,M,135,0.4945054945054945,0.4655421604580695
209,DRpre,A,V,87,0.31868131868131866,0.31187571201796443
210,DRpre,M,A,112,0.18451400329489293,0.21547223825386913
211,DRpre,M,M,288,0.4744645799011532,0.4494942078975929
212,DRpre,M,V,207,0.34102141680395387,0.33503355384853795
213,DRpre,V,A,73,0.1540084388185654,0.18390115620669092
214,DRpre,V,M,207,0.43670886075949367,0.4233410737169159
215,DRpre,V,V,194,0.4092827004219409,0.3927577700763931
216,DRpre,A,A,62,0.2271062271062271,0.22282439708170185
217,DRpre,A,M,126,0.46153846153846156,0.44963617581589815
218,DRpre,A,V,85,0.31135531135531136,0.32753942710239997
219,DRpre,M,A,102,0.16803953871499178,0.18732927491627566
220,DRpre,M,M,299,0.4925864909390445,0.47095318424392213
221,DRpre,M,V,206,0.3393739703459638,0.34171754083980216
222,DRpre,V,A,77,0.16244725738396623,0.19285338030395946
